ID_Bloque,Categoria_Principal,Subcategoria_Topico,Titulo_del_Bloque,Texto_del_Speech,Recomendacion_Interna,Paso_Actual,ID_Siguiente_Paso,Tags
SAL-001,👋 Saludo,General,Saludo Inicial Estándar,"¡Hola! Soy Enrique, tu asesor personalizado de Yape. 🧑‍💻 Espero que estés teniendo un excelente día. ☀️ ¿Cómo puedo ayudarte hoy?",Este es tu saludo principal. Úsalo cuando no tienes claro el motivo del contacto. ¡Añadir un toque personal como el día de la semana es una buena idea!,1,,"general, saludo"
SAL-002,👋 Saludo,Bloqueos,Saludo para Desbloqueo de Cuenta,"¡Hola! Soy Enrique, tu asesor de Yape. 🧑‍💻 Veo que necesitas ayuda con tu cuenta. ¡Claro que sí! Realizaremos el desbloqueo para que puedas ingresar nuevamente.","Usa este saludo específico cuando el cliente menciona ""bloqueo"" desde el inicio. Demuestra que entendiste su problema de inmediato.",1,PED-001,"acceso, bloqueo, cuenta, saludo"
SAL-003,👋 Saludo,Transacciones,Saludo para Transacción Fallida,"¡Hola! Soy Enrique, tu asesor de Yape. 🧑‍💻 Entiendo, tuviste un problema con una transacción y estoy aquí para ayudarte a rastrearla. ¡Vamos a solucionarlo!",Muestra empatía desde el inicio. Los problemas de dinero son los que más frustran a los clientes.,1,PED-002,"error, saludo, transaccion"
SAL-004,👋 Saludo,Validación,Saludo para Problema de Validación (Selfie),"¡Hola! Soy Enrique, tu asesor de Yape. 🧑‍💻 Veo que tienes problemas para validar tu identidad. ¡No te preocupes! Es un paso de seguridad importante y te guiaré para que lo pasemos sin problemas.",La validación puede ser frustrante. Empieza con un tono tranquilizador.,1,REK-001,"datos, registro, seguridad, saludo, validación"
PED-001,📝 Pedir Datos,Bloqueos,Datos para Desbloqueo / Reseteo / Desvinc.,"Para proceder, por favor, indícame lo siguiente:<br>- Tu número de cuenta Yape<br>- Tu CI + extensión (si aplica)<br>- Una captura de pantalla del error que te aparece 📲",Estos 3 datos son esenciales para la mayoría de problemas de acceso a la cuenta. No procedas sin ellos para evitar idas y vueltas.,2,,"datos, pedir datos, validación"
PED-002,📝 Pedir Datos,Transacciones,Datos para Transacciones Truncas / Dobles,"Para encontrar tu transacción en el sistema, necesito que por favor me indiques lo siguiente:<br>- Fecha y Hora aproximada de la transacción 🕒<br>- Monto exacto del pago 💰<br>- Si lo tienes, el banco de origen y el banco de destino.<br>- Un comprobante o captura de pantalla del pago es de gran ayuda. 🙏","El comprobante es la evidencia más importante. Si el cliente no lo tiene, insiste amablemente o pide los otros datos para buscar.",2,,"datos, pedir datos, transaccion, validación"
PED-003,📝 Pedir Datos,ATM,Datos para Retención en Cajero,"¡Claro que sí! Para reportar el incidente en el cajero, por favor ayúdame con estos datos:<br>- Fecha y Hora exacta del incidente 🕒<br>- Ciudad donde te encuentras 📍<br>- Monto retenido 💵<br>- La dirección lo más exacta posible del cajero automático.",La dirección del ATM es crucial para que el equipo técnico pueda identificar la máquina correcta.,2,,"cuenta, descargar, estado de cuenta, movimientos"
PED-004,📝 Pedir Datos,Fraude,Datos para Denuncia de Estafa,"Lamento mucho lo que estás pasando. Para emitir la denuncia y bloquear al estafador, necesito que me envíes:<br>- Número de cuenta y contacto del presunto estafador.<br>- Evidencias del contacto (capturas de la conversación).<br>- El comprobante o los comprobantes de los pagos que hiciste. 📄",Sé muy empático. El cliente se siente vulnerable. Asegúrale que con estos datos tomarán acciones inmediatas como el bloqueo de la cuenta denunciada.,2,,"cuenta, pedir datos, saldo"
REK-001,⚙️ Solución,Validación,Envío de Link e Instrucciones Claras (Selfie),"Muy bien, para poder ayudarte, primero debemos validar tu identidad por la seguridad de tu cuenta.<br>Por favor ingresa al siguiente link:<br>🔗 [LINK DE REKOGNITION]<br>Recuerda:<br>- Busca un lugar con buena iluminación 💡<br>- Evita usar lentes o gorras 🧢<br>- Usa el navegador Google Chrome o Firefox.<br>✅ Cuando termines, por favor respóndeme con la palabra “REALIZADO”.",Este bloque une el link con las recomendaciones más importantes. Es crucial que el cliente las lea ANTES de hacer clic.,2,,"error, reconocimiento facial, seguridad, validación"
BLO-001,⚙️ Solución,Bloqueos,Confirmación de Desbloqueo y Nuevo PIN,"¡Listo, XXX! Tu cuenta ya ha sido desbloqueada. 🔓<br>Además, te hemos enviado un nuevo PIN temporal a tu número por SMS.<br>Por favor, úsalo para ingresar y luego cámbialo desde el menú ""Más"" > ""Cambiar PIN"" por uno que solo tú conozcas.",Asegúrate de haber realizado la acción en el sistema ANTES de enviar este mensaje.,3,,"acceso, bloqueo, clave, solución de problemas"
